n_no kokgi_v 閩南語詞目
1 一 一
1 全 一
1 規 一
1 壹 一
1 整個 一
2 一 一
2 壹 一
3 一刀兩斷 一刀兩斷
4 一 一下
4 一下 一下
4 得 一下
6 一個月 一月日
7 一天到晚 一日到暗
7 從早到晚 一日到暗
7 整天 一日到暗
9 一世 一世人
9 一生 一世人
9 一輩子 一世人
9 畢生 一世人
9 終身 一世人
10 一半 一半
11 一兩個 一半个仔
12 一兩天 一半日仔
13 到處 一四界
13 處處 一四界
13 遍地 一四界
14 一旦 一旦
15 一世 一生
15 一生 一生
15 一輩子 一生
15 畢生 一生
15 終身 一生
16 一下子 一目𥍉仔
16 一眨眼 一目𥍉仔
16 一瞬間 一目𥍉仔
17 一甲子 一甲子
17 六十年 一甲子
18 一百零一 一百空一
19 一來 一來
20 一定 一定
20 不一定 一定
20 可能 一定
20 必定 一定
20 必然 一定
20 保證 一定
20 確定的 一定
21 一直 一直
22 一律 一律
22 一概 一律
22 完全 一律
23 一律 一致
23 一致 一致
23 一概 一致
23 完全 一致
24 一面 一面
24 一邊 一面
24 片面 一面
24 單方面 一面
25 一坨屎 一垺屎
25 一糞坑 一垺屎
25 大便 一垺屎
25 無用 一垺屎
26 一些些 一屑仔
26 一點兒 一屑仔
26 一點點 一屑仔
27 一家子 一家伙仔
28 一般 一般
31 一流 一粒一
33 一下子 一睏仔
33 一口氣 一睏仔
33 一眨眼 一睏仔
33 一陣子 一睏仔
33 一會兒 一睏仔
33 一瞬間 一睏仔
34 一律 一概
34 一致 一概
34 一概 一概
34 完全 一概
35 一路 一路
35 沿途 一路
35 路上 一路
36 一些 一寡
36 一點兒 一寡
36 一點點 一寡
36 少許 一寡
37 一些些 一寡仔
37 一點兒 一寡仔
37 一點點 一寡仔
38 一晝夜 一對時
38 二十四小時 一對時
39 一下子 一霎仔久
39 一眨眼 一霎仔久
39 一瞬間 一霎仔久
41 一些 一點仔
41 一點兒 一點仔
41 一點點 一點仔
41 少許 一點仔
42 一坨屎 一礐屎
42 一糞坑 一礐屎
42 大便 一礐屎
42 無用 一礐屎
43 一下子 一觸久仔
43 一會兒 一觸久仔
45 乙 乙
46 丁 丁
46 男子 丁
47 七 七
48 九 九
49 九 九
50 白費 了
50 光光 了
50 好 了
50 完 了
50 明白 了
50 畢 了
50 損失 了
50 窮盡 了
50 賠錢 了
51 二 二
52 人 人
53 人 人
54 入 入
54 進 入
55 八 八
56 八 八
57 刀 刀
57 小刀 刀
58 刁難 刁
58 故意 刁
58 為難 刁
58 愚弄 刁
59 力 力
59 力氣 力
59 力量 力
60 力 力
60 力量 力
60 作用 力
61 十 十
62 十 十
63 卜 卜
64 卜 卜
65 又 又
65 再 又
66 王老五 十一哥
66 單身男子 十一哥
66 單身漢 十一哥
67 白費 了了
67 光光 了了
67 完 了了
67 明白 了了
67 損失 了了
67 窮盡 了了
67 賠錢 了了
