1,一,一,數,數字。
3,一刀兩斷,一刀兩斷,熟,一刀斬成兩段，比喻斷絕關係。
4,一下,一,無,動詞後綴。表示極短的時間或是短時間的動作。 
6,一月日,一個月,時,一個月。
7,一日到暗,一天到晚,熟,一天到晚、從早到晚，整天。
9,一世人,一世,名,一輩子。
10,一半,一半,名,二分之一。
11,一半个仔,一兩個,名,幾個、一兩個、少數幾個。
12,一半日仔,一兩天,熟,一兩天。
13,一四界,到處,副,遍地、到處。
14,一旦,一旦,副,假使有一天。
15,一生,一世,形,畢生的、一輩子的。
16,一目𥍉仔,一下子,時,一瞬間、一眨眼。指很短暫的時間。
17,一甲子,一甲子,時,六十年。由十二天干數和十地支數配合而形成的傳統計算年歲的方法，以六十年為一個輪迴。
18,一百空一,一百零一,數,一百零一。
19,一來,一來,副,首先。
20,一定,一定,副,必定、必然。
21,一直,一直,副,朝同一個方向直行而去。
22,一律,一律,副,全部都一樣。
23,一致,一律,形,趨向相同。
24,一面,一面,副,描述兩種以上的事情同時進行著。
25,一垺屎,一坨屎,名,一坨屎、一坨大便。
26,一屑仔,一些些,形,一點點。形容體積很小或數量很少。
27,一家伙仔,一家子,名,一家子。全家人、同一家人。
28,一般,一般,形,普遍性的、平常的。
31,一粒一,一流,形,最好的、第一流的。
33,一睏仔,一下子,副,一陣子、一會兒。
34,一概,一律,副,一律、完全。
35,一路,一路,名,沿途、路上。 
36,一寡,一些,副,一些、少許，也可以單說「寡」(--kuá)。
37,一寡仔,一些些,副,一點點、一些些。
38,一對時,一晝夜,時,一晝夜、二十四小時。
39,一霎仔久,一下子,副,一瞬間、一下子。形容很短的時間。
41,一點仔,一些,形,一點兒、一 點點。形容數量極少。
42,一礐屎,一坨屎,名,一糞坑的大便。
43,一觸久仔,一下子,時,一會兒、一下子。
45,乙,乙,名,天干的第二位。
46,丁,丁,名,天干的第四位，也指排序或等級為第四。
47,七,七,數,數字。
48,九,九,數,數字。
50,了,白費,動,表示動作結束、完畢。或是表示動作的時間狀況。
51,二,二,數,數字。 
52,人,人,名,具有高度智慧和靈性，能使用語言進行思維溝通，且能製造並使用工具的高等動物。
54,入,入,動,進。從外面進到裡面。
55,八,八,數,數字。
57,刀,刀,名,供切、削、剪、刻、割、斬等用途的工具。
58,刁,刁難,動,刁難、為難。
59,力,力,名,力量、氣力。
61,十,十,數,數字。
63,卜,卜,動,試試看。
65,又,又,副,再、復。
66,十一哥,王老五,名,單身漢。
67,了了,白費,副,光光、窮盡、完全沒有了。當作動詞補語。
69,人人,人人,名,每一個人。
70,十二分,十二分,形,非常、很。用來形容程度極深。
71,十二生相,十二生肖,名,十二生肖。即鼠、牛、虎、兔、龍、蛇、馬、羊、猴、雞、狗、豬。
72,十二指腸,十二指腸,名,小腸的上段部分，上接胃，下連空腸，長度大約是十二個指頭長，形狀為Ｃ形，是小腸最主要的吸收養分的地方。
73,二九暝,大年夜,名,除夕、大年夜。
74,十八骰仔,骰子,無,見【骰仔】tâu-á 條。
75,十八變,十八變,形,十八種變化。用來比喻或形容事物變化多端，或是借用佛家語，比喻本領高強。
76,七夕,七夕,名,農曆七月初七夜晚。相傳天上的牛郎、織女會在當晚相會。對臺灣人來說，七月初七是「七娘媽生」(Tshit-niû-má-senn)，臺南還有「做十六歲」(tsò tsa̍p-la̍k huè)的習俗。
77,了工,白費工夫,動,白費工夫。
78,人工,人力,名,人力、人手。人的勞動力或是指可以工作的人。
79,人才,外表,名, 外表、儀容。
80,入土,入土,動,埋葬。將亡者的遺體葬入土中。
81,刁工,存心,副,專程、特地。
82,人中,人中,名,人臉部鼻子下，嘴脣上方凹下部分。
83,七孔,七孔,名,七竅。指人臉部的七個孔穴，包括兩眼、兩耳、兩鼻孔和嘴巴。
84,九孔,九孔,名,貝類。貝葉為橢圓形，上面有九個上下的吸水孔，喜歡棲息在數公尺深的岩礁地形中。有野生採集和人工養殖兩種來源，可以做為海鮮食材，是臺灣東北角、東部海岸及澎湖縣等岩岸地區的著名水產養殖貝類。
85,二手,二手,名,副手、助手、助理。技術工作中的助手、協助處理事務的人。
86,入木,入殮,動,入殮。把死者放進棺木中。
87,八仙,八仙,名,神話傳說中的八位仙人，漢鍾離、張果老、韓湘子、鐵拐李、曹國舅、呂洞賓、藍采和、何仙姑八人。
88,刀仔,小刀,名,小刀。
89,八仙桌,八仙桌,名,一種用來祭祀的方桌。通常置於大廳，祭祀時用來陳列祭品，與用來供奉神明或祖先牌位的「尪架桌」(ang-kè-toh)合稱「頂下桌」(tíng-ē toh)。
90,八仙綵,八仙綵,名,繡有八仙過海的紅色彩幔，在喜事節慶時懸掛在門楣上。
91,刁古董,刁難,動,刻意作弄、為難別人。
92,了本,倒貼,動,蝕本、虧本。
93,人民,人民,名,百姓、國民。居住在一國家內具有應享權利與應盡義務的人。
94,人生,人生,名,人的一生、生命歷程。
95,刀石,磨刀石,名,磨刀石。
96,十全,十全,形,完滿、齊全。完美無缺憾。
98,八字,八字,名,中國傳統命相學家，用人出生的年、月、日、時，以天干、地支配合成八個字，來推斷一生的命運。
99,七字仔,七字調,名,七字調。歌仔戲使用率非常高的一種調，七個字為一句，每段有四句。
100,十字架,十字架,名,西洋古代的一種刑具。由於耶穌基督為了救贖世人而被釘死在十字架上，所以後世就用十字架來代表基督本身或對基督教的信仰。
101,八字跤,八字腳,名,八字腳。走路內八字或外八字。
102,十字路,十字路,名,縱橫兩條道路交接之處。
103,七早八早,七早八早,時,一大清早。
104,入耳,入耳,副,聽進耳裡。
105,刀肉,刀子主體,名,指刀子的主體部位。
106,七老八老,七老八十,形,七老八十。形容年紀很老。
107,了尾仔囝,敗家子,名,敗家子。不務正業、傾家蕩產而無法自立的子孫。
108,二步七仔,才能,名,本事、本領。形容人對事情有一點處理的本事、能力。
109,八角,八角,名,八角茴香的果實。茶褐色，呈星狀排列，一般多用作食品的佐料。
110,十足,十足,形,完全、充分。
111,九芎仔,九芎樹,名,九芎樹。木本植物。木質堅韌，可以拿來做手杖，根部可以拿來入藥，治瘧疾。
112,人事,人力,名,機關中的人員升調、獎懲、任免等事務。
113,八卦,八卦,名,術數用語。易經中八個基本卦名的合稱。相傳為伏羲氏所作，由陽爻和陰爻組成。後來也用來指稱八角形物品。
114,卜卦,卜卦,動,占卜。推斷未來的吉凶禍福。
115,二房,二房,名,家族中次男的支系。
116,人物,人物,名,有品格、才能出眾的人。
117,十花五色,五花八門,形,五花八門、形形色色。
118,入門,入門,動,進門。
119,人客,客人,名,客人、賓客。
120,了後,之後,時,之後。 
